index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
2638	d eɪ d ɹ i m	d eɪ d ɹ i m d	daydream	daydreamed	⋊ d e d ɹ i m ⋉	⋊ d e d ɹ i m d ⋉
2639	d ʌ l	d ʌ l d	dull	dulled	⋊ d ʌ l ⋉	⋊ d ʌ l d ⋉
2640	ɪ n ʃ ɹ aɪ n	ɪ n ʃ ɹ aɪ n d	enshrine	enshrined	⋊ ɪ n ʃ ɹ a ɪ n ⋉	⋊ ɪ n ʃ ɹ a ɪ n d ⋉
2641	f oʊ ɹ t ɛ l	f oʊ ɹ t oʊ l d	foretell	foretold	⋊ f o ɹ t ɛ l ⋉	⋊ f o ɹ t o l d ⋉
2642	g aʊ dʒ	g aʊ dʒ d	gouge	gouged	⋊ g a ʊ d ʒ ⋉	⋊ g a ʊ d ʒ d ⋉
2643	h oʊ ɹ d	h oʊ ɹ d ə d	hoard	hoarded	⋊ h o ɹ d ⋉	⋊ h o ɹ d ɪ d ⋉
2644	h ɔ ŋ k	h ɔ ŋ k t	honk	honked	⋊ h ɔ ŋ k ⋉	⋊ h ɔ ŋ k t ⋉
2645	l u s	l u s t	loose	loosed	⋊ l u s ⋉	⋊ l u s t ⋉
2646	m ɪ s p l eɪ s	m ɪ s p l eɪ s t	misplace	misplaced	⋊ m ɪ s p l e s ⋉	⋊ m ɪ s p l e s t ⋉
2647	aʊ t w ɪ t	aʊ t w ɪ t ə d	outwit	outwitted	⋊ a ʊ t w ɪ t ⋉	⋊ a ʊ t w ɪ t ɪ d ⋉
2648	oʊ v ɚ s i	oʊ v ɚ s ɔ	oversee	oversaw	⋊ o v ɛ ɹ s i ⋉	⋊ o v ɛ ɹ s ɔ ⋉
2649	p ɹ ə k j u ɹ	p ɹ ə k j u ɹ d	procure	procured	⋊ p ɹ ə k j u ɹ ⋉	⋊ p ɹ ə k j u ɹ d ⋉
2650	ɹ ɛ v ə l	ɹ ɛ v ə l d	revel	revelled	⋊ ɹ ɛ v ə l ⋉	⋊ ɹ ɛ v ə l d ⋉
2651	s oʊ b ɚ	s oʊ b ɚ d	sober	sobered	⋊ s o b ɛ ɹ ⋉	⋊ s o b ɛ ɹ d ⋉
2652	s p æ ŋ k	s p æ ŋ k t	spank	spanked	⋊ s p ɑ ŋ k ⋉	⋊ s p ɑ ŋ k t ⋉
2653	s p ɚ n	s p ɚ n d	spurn	spurned	⋊ s p ɛ ɹ n ⋉	⋊ s p ɛ ɹ n d ⋉
2654	ʌ n s k ɹ u	ʌ n s k ɹ u d	unscrew	unscrewed	⋊ ʌ n s k ɹ u ⋉	⋊ ʌ n s k ɹ u d ⋉
2655	z ɪ p	z ɪ p t	zip	zipped	⋊ z ɪ p ⋉	⋊ z ɪ p t ⋉
2656	ə n aɪ ə l eɪ t	ə n aɪ ə l eɪ t ə d	annihilate	annihilated	⋊ ə n a ɪ ə l e t ⋉	⋊ ə n a ɪ ə l e t ɪ d ⋉
2657	b l eɪ ɹ	b l eɪ ɹ d	blare	blared	⋊ b l e ɹ ⋉	⋊ b l e ɹ d ⋉
2658	b ɹ oʊ tʃ	b ɹ oʊ tʃ t	broach	broached	⋊ b ɹ o t ʃ ⋉	⋊ b ɹ o t ʃ t ⋉
2659	k a ŋ g ɹ ə g eɪ t	k a ŋ g ɹ ə g eɪ t ə d	congregate	congregated	⋊ k a ŋ g ɹ ə g e t ⋉	⋊ k a ŋ g ɹ ə g e t ɪ d ⋉
2660	k ʊ ʃ ə n	k ʊ ʃ ə n d	cushion	cushioned	⋊ k ʊ ʃ ə n ⋉	⋊ k ʊ ʃ ə n d ⋉
2661	d æ b ə l	d æ b ə l d	dabble	dabbled	⋊ d ɑ b ə l ⋉	⋊ d ɑ b ə l d ⋉
2662	d ɪ b eɪ s	d ɪ b eɪ s t	debase	debased	⋊ d ɪ b e s ⋉	⋊ d ɪ b e s t ⋉
2663	d i ɹ eɪ n dʒ	d i ɹ eɪ n dʒ d	derange	deranged	⋊ d i ɹ e n d ʒ ⋉	⋊ d i ɹ e n d ʒ d ⋉
2664	d ɪ s f ɪ g j ɚ	d ɪ s f ɪ g j ɚ d	disfigure	disfigured	⋊ d ɪ s f ɪ g j ɛ ɹ ⋉	⋊ d ɪ s f ɪ g j ɛ ɹ d ⋉
2665	ɪ s p aʊ z	ɪ s p aʊ z d	espouse	espoused	⋊ ɪ s p a ʊ z ⋉	⋊ ɪ s p a ʊ z d ⋉
2666	f æ ð ə m	f æ ð ə m d	fathom	fathomed	⋊ f ɑ ð ə m ⋉	⋊ f ɑ ð ə m d ⋉
2667	f ɔ l t	f ɔ l t ə d	fault	faulted	⋊ f ɔ l t ⋉	⋊ f ɔ l t ɪ d ⋉
2668	m ə n a p ə l aɪ z	m ə n a p ə l aɪ z d	monopolize	monopolized	⋊ m ə n a p ə l a ɪ z ⋉	⋊ m ə n a p ə l a ɪ z d ⋉
2669	p i	p i d	pee	peed	⋊ p i ⋉	⋊ p i d ⋉
2670	p ʌ l s	p ʌ l s t	pulse	pulsed	⋊ p ʌ l s ⋉	⋊ p ʌ l s t ⋉
2671	ɹ ɛ d ə n	ɹ ɛ d ə n d	redden	reddened	⋊ ɹ ɛ d ə n ⋉	⋊ ɹ ɛ d ə n d ⋉
2672	ɹ i j u n aɪ t	ɹ i j u n aɪ t ə d	reunite	reunited	⋊ ɹ i j u n a ɪ t ⋉	⋊ ɹ i j u n a ɪ t ɪ d ⋉
2673	ɹ i v aɪ t ə l aɪ z	ɹ i v aɪ t ə l aɪ z d	revitalize	revitalized	⋊ ɹ i v a ɪ t ə l a ɪ z ⋉	⋊ ɹ i v a ɪ t ə l a ɪ z d ⋉
2674	s n ɪ g ɚ	s n ɪ g ɚ d	snigger	sniggered	⋊ s n ɪ g ɛ ɹ ⋉	⋊ s n ɪ g ɛ ɹ d ⋉
2675	s p aɪ s	s p aɪ s t	spice	spiced	⋊ s p a ɪ s ⋉	⋊ s p a ɪ s t ⋉
2676	t æ k	t æ k t	tack	tacked	⋊ t ɑ k ⋉	⋊ t ɑ k t ⋉
2677	t oʊ l	t oʊ l d	toll	tolled	⋊ t o l ⋉	⋊ t o l d ⋉
2678	w eɪ t	w eɪ t ə d	weight	weighted	⋊ w e t ⋉	⋊ w e t ɪ d ⋉
2679	ə b eɪ t	ə b eɪ t ə d	abate	abated	⋊ ə b e t ⋉	⋊ ə b e t ɪ d ⋉
2680	ə dʒ ɔɪ n	ə dʒ ɔɪ n d	adjoin	adjoined	⋊ ə d ʒ ɔ ɪ n ⋉	⋊ ə d ʒ ɔ ɪ n d ⋉
2681	æ m b ə l	æ m b ə l d	amble	ambled	⋊ ɑ m b ə l ⋉	⋊ ɑ m b ə l d ⋉
2682	ə p ɹ a k s ɪ m eɪ t	ə p ɹ a k s ɪ m eɪ t ə d	approximate	approximated	⋊ ə p ɹ a k s ɪ m e t ⋉	⋊ ə p ɹ a k s ɪ m e t ɪ d ⋉
2683	b eɪ t	b eɪ t ə d	bate	bated	⋊ b e t ⋉	⋊ b e t ɪ d ⋉
2684	k aʊ ɚ	k aʊ ɚ d	cower	cowered	⋊ k a ʊ ɛ ɹ ⋉	⋊ k a ʊ ɛ ɹ d ⋉
2685	d ɔ d ə l	d ɔ d ə l d	dawdle	dawdled	⋊ d ɔ d ə l ⋉	⋊ d ɔ d ə l d ⋉
2686	d ɪ f aɪ l	d ɪ f aɪ l d	defile	defiled	⋊ d ɪ f a ɪ l ⋉	⋊ d ɪ f a ɪ l d ⋉
2687	ɪ n æ m ə l	ɪ n æ m ə l d	enamel	enamelled	⋊ ɪ n ɑ m ə l ⋉	⋊ ɪ n ɑ m ə l d ⋉
2688	f j u m	f j u m d	fume	fumed	⋊ f j u m ⋉	⋊ f j u m d ⋉
2689	g æ l v ə n aɪ z	g æ l v ə n aɪ z d	galvanize	galvanized	⋊ g ɑ l v ə n a ɪ z ⋉	⋊ g ɑ l v ə n a ɪ z d ⋉
2690	h ɔ s p ɪ t ə l aɪ z	h ɔ s p ɪ t ə l aɪ z d	hospitalize	hospitalized	⋊ h ɔ s p ɪ t ə l a ɪ z ⋉	⋊ h ɔ s p ɪ t ə l a ɪ z d ⋉
2691	h j u m ə n aɪ z	h j u m ə n aɪ z d	humanize	humanized	⋊ h j u m ə n a ɪ z ⋉	⋊ h j u m ə n a ɪ z d ⋉
2692	ɪ n t ə ɹ ɪ l eɪ t	ɪ n t ə ɹ ɪ l eɪ t ə d	interrelate	interrelated	⋊ ɪ n t ə ɹ ɪ l e t ⋉	⋊ ɪ n t ə ɹ ɪ l e t ɪ d ⋉
2693	ɪ n t a k s ɪ k eɪ t	ɪ n t a k s ɪ k eɪ t ə d	intoxicate	intoxicated	⋊ ɪ n t a k s ɪ k e t ⋉	⋊ ɪ n t a k s ɪ k e t ɪ d ⋉
2694	n aɪ f	n aɪ f t	knife	knifed	⋊ n a ɪ f ⋉	⋊ n a ɪ f t ⋉
2695	m ʌ k	m ʌ k t	muck	mucked	⋊ m ʌ k ⋉	⋊ m ʌ k t ⋉
2696	p ɚ t ɚ b	p ɚ t ɚ b d	perturb	perturbed	⋊ p ɛ ɹ t ɛ ɹ b ⋉	⋊ p ɛ ɹ t ɛ ɹ b d ⋉
2697	p a s tʃ ə l eɪ t	p a s tʃ ə l eɪ t ə d	postulate	postulated	⋊ p a s t ʃ ə l e t ⋉	⋊ p a s t ʃ ə l e t ɪ d ⋉
2698	p ɹ a f ɪ s aɪ	p ɹ a f ɪ s aɪ d	prophesy	prophesied	⋊ p ɹ a f ɪ s a ɪ ⋉	⋊ p ɹ a f ɪ s a ɪ d ⋉
2699	ɹ ɪ p l ɛ n ɪ ʃ	ɹ ɪ p l ɛ n ɪ ʃ t	replenish	replenished	⋊ ɹ ɪ p l ɛ n ɪ ʃ ⋉	⋊ ɹ ɪ p l ɛ n ɪ ʃ t ⋉
2700	s æ b ə t a ʒ	s æ b ə t a ʒ d	sabotage	sabotaged	⋊ s ɑ b ə t a ʒ ⋉	⋊ s ɑ b ə t a ʒ d ⋉
2701	ʃ æ k ə l	ʃ æ k ə l d	shackle	shackled	⋊ ʃ ɑ k ə l ⋉	⋊ ʃ ɑ k ə l d ⋉
2702	ʃ ɪ t	ʃ ɪ t ə d	shit	shitted	⋊ ʃ ɪ t ⋉	⋊ ʃ ɪ t ɪ d ⋉
2703	ʃ ʌ n t	ʃ ʌ n t ə d	shunt	shunted	⋊ ʃ ʌ n t ⋉	⋊ ʃ ʌ n t ɪ d ⋉
2704	s ɪ z ə l	s ɪ z ə l d	sizzle	sizzled	⋊ s ɪ z ə l ⋉	⋊ s ɪ z ə l d ⋉
2705	s l a t	s l a t ə d	slot	slotted	⋊ s l a t ⋉	⋊ s l a t ɪ d ⋉
2706	s n eɪ k	s n eɪ k t	snake	snaked	⋊ s n e k ⋉	⋊ s n e k t ⋉
2707	θ ʌ m	θ ʌ m d	thumb	thumbed	⋊ θ ʌ m ⋉	⋊ θ ʌ m d ⋉
2708	t ɪ n t	t ɪ n t ə d	tint	tinted	⋊ t ɪ n t ⋉	⋊ t ɪ n t ɪ d ⋉
2709	w eɪ k ə n	w eɪ k ə n d	waken	wakened	⋊ w e k ə n ⋉	⋊ w e k ə n d ⋉
2710	w ɪ t ə l	w ɪ t ə l d	whittle	whittled	⋊ w ɪ t ə l ⋉	⋊ w ɪ t ə l d ⋉
2711	j ɛ l oʊ	j ɛ l oʊ d	yellow	yellowed	⋊ j ɛ l o ⋉	⋊ j ɛ l o d ⋉
2712	ə m æ l g ə m eɪ t	ə m æ l g ə m eɪ t ə d	amalgamate	amalgamated	⋊ ə m ɑ l g ə m e t ⋉	⋊ ə m ɑ l g ə m e t ɪ d ⋉
2713	b eɪ	b eɪ d	bay	bayed	⋊ b e ⋉	⋊ b e d ⋉
2714	b ɹ æ n d ɪ ʃ	b ɹ æ n d ɪ ʃ t	brandish	brandished	⋊ b ɹ ɑ n d ɪ ʃ ⋉	⋊ b ɹ ɑ n d ɪ ʃ t ⋉
2715	k eɪ k	k eɪ k t	cake	caked	⋊ k e k ⋉	⋊ k e k t ⋉
2716	k a ɹ p ɪ t	k a ɹ p ɪ t ə d	carpet	carpeted	⋊ k a ɹ p ɪ t ⋉	⋊ k a ɹ p ɪ t ɪ d ⋉
2717	k ɔ ʃ ə n	k ɔ ʃ ə n d	caution	cautioned	⋊ k ɔ ʃ ə n ⋉	⋊ k ɔ ʃ ə n d ⋉
2718	k l ɪ n tʃ	k l ɪ n tʃ t	clinch	clinched	⋊ k l ɪ n t ʃ ⋉	⋊ k l ɪ n t ʃ t ⋉
2719	k ə n dʒ ɛ k tʃ ɚ	k ə n dʒ ɛ k tʃ ɚ d	conjecture	conjectured	⋊ k ə n d ʒ ɛ k t ʃ ɛ ɹ ⋉	⋊ k ə n d ʒ ɛ k t ʃ ɛ ɹ d ⋉
2720	k ʌ v ɪ t	k ʌ v ɪ t ə d	covet	coveted	⋊ k ʌ v ɪ t ⋉	⋊ k ʌ v ɪ t ɪ d ⋉
2721	k ʌ f	k ʌ f t	cuff	cuffed	⋊ k ʌ f ⋉	⋊ k ʌ f t ⋉
2722	d ɪ b ɪ l ɪ t eɪ t	d ɪ b ɪ l ɪ t eɪ t ə d	debilitate	debilitated	⋊ d ɪ b ɪ l ɪ t e t ⋉	⋊ d ɪ b ɪ l ɪ t e t ɪ d ⋉
2723	d ɪ p ɹ eɪ v	d ɪ p ɹ eɪ v d	deprave	depraved	⋊ d ɪ p ɹ e v ⋉	⋊ d ɪ p ɹ e v d ⋉
2724	d aɪ l eɪ t	d aɪ l eɪ t ə d	dilate	dilated	⋊ d a ɪ l e t ⋉	⋊ d a ɪ l e t ɪ d ⋉
2725	d ɪ s k ʌ l ɚ	d ɪ s k ʌ l ɚ d	discolour	discoloured	⋊ d ɪ s k ʌ l ɛ ɹ ⋉	⋊ d ɪ s k ʌ l ɛ ɹ d ⋉
2726	d ɪ s ɛ k t	d ɪ s ɛ k t ə d	dissect	dissected	⋊ d ɪ s ɛ k t ⋉	⋊ d ɪ s ɛ k t ɪ d ⋉
2727	ɪ l ɛ k t ɹ ɪ f aɪ	ɪ l ɛ k t ɹ ɪ f aɪ d	electrify	electrified	⋊ ɪ l ɛ k t ɹ ɪ f a ɪ ⋉	⋊ ɪ l ɛ k t ɹ ɪ f a ɪ d ⋉
2728	ɪ n k ɹ oʊ tʃ	ɪ n k ɹ oʊ tʃ t	encroach	encroached	⋊ ɪ n k ɹ o t ʃ ⋉	⋊ ɪ n k ɹ o t ʃ t ⋉
2729	ɪ k s t ɚ m ɪ n eɪ t	ɪ k s t ɚ m ɪ n eɪ t ə d	exterminate	exterminated	⋊ ɪ k s t ɛ ɹ m ɪ n e t ⋉	⋊ ɪ k s t ɛ ɹ m ɪ n e t ɪ d ⋉
2730	f l a g	f l a g d	flog	flogged	⋊ f l a g ⋉	⋊ f l a g d ⋉
2731	f oʊ m	f oʊ m d	foam	foamed	⋊ f o m ⋉	⋊ f o m d ⋉
2732	g l ɪ m ɚ	g l ɪ m ɚ d	glimmer	glimmered	⋊ g l ɪ m ɛ ɹ ⋉	⋊ g l ɪ m ɛ ɹ d ⋉
2733	g oʊ d	g oʊ d ə d	goad	goaded	⋊ g o d ⋉	⋊ g o d ɪ d ⋉
2734	ɪ n tʃ	ɪ n tʃ t	inch	inched	⋊ ɪ n t ʃ ⋉	⋊ ɪ n t ʃ t ⋉
2735	ɪ n t ɚ dʒ ɛ k t	ɪ n t ɚ dʒ ɛ k t ə d	interject	interjected	⋊ ɪ n t ɛ ɹ d ʒ ɛ k t ⋉	⋊ ɪ n t ɛ ɹ d ʒ ɛ k t ɪ d ⋉
2736	dʒ æ ŋ g ə l	dʒ æ ŋ g ə l d	jangle	jangled	⋊ d ʒ ɑ ŋ g ə l ⋉	⋊ d ʒ ɑ ŋ g ə l d ⋉
2737	k ɪ n d ə l	k ɪ n d ə l d	kindle	kindled	⋊ k ɪ n d ə l ⋉	⋊ k ɪ n d ə l d ⋉
2738	m æ d ə n	m æ d ə n d	madden	maddened	⋊ m ɑ d ə n ⋉	⋊ m ɑ d ə n d ⋉
2739	m ɔɪ s ə n	m ɔɪ s ə n d	moisten	moistened	⋊ m ɔ ɪ s ə n ⋉	⋊ m ɔ ɪ s ə n d ⋉
2740	oʊ ɹ k ɪ s t ɹ eɪ t	oʊ ɹ k ɪ s t ɹ eɪ t ə d	orchestrate	orchestrated	⋊ o ɹ k ɪ s t ɹ e t ⋉	⋊ o ɹ k ɪ s t ɹ e t ɪ d ⋉
2741	aʊ s t	aʊ s t ə d	oust	ousted	⋊ a ʊ s t ⋉	⋊ a ʊ s t ɪ d ⋉
2742	oʊ v ɚ w ɚ k	oʊ v ɚ w ɚ k t	overwork	overworked	⋊ o v ɛ ɹ w ɛ ɹ k ⋉	⋊ o v ɛ ɹ w ɛ ɹ k t ⋉
2743	p eɪ v	p eɪ v d	pave	paved	⋊ p e v ⋉	⋊ p e v d ⋉
2744	ɹ æ n t	ɹ æ n t ə d	rant	ranted	⋊ ɹ ɑ n t ⋉	⋊ ɹ ɑ n t ɪ d ⋉
2745	ɹ i m eɪ ɹ i	ɹ i m eɪ ɹ i d	remarry	remarried	⋊ ɹ i m e ɹ i ⋉	⋊ ɹ i m e ɹ i d ⋉
2746	s aʊ ɚ	s aʊ ɚ d	sour	soured	⋊ s a ʊ ɛ ɹ ⋉	⋊ s a ʊ ɛ ɹ d ⋉
2747	s p j u	s p j u d	spew	spewed	⋊ s p j u ⋉	⋊ s p j u d ⋉
2748	s p l ʌ t ɚ	s p l ʌ t ɚ d	splutter	spluttered	⋊ s p l ʌ t ɛ ɹ ⋉	⋊ s p l ʌ t ɛ ɹ d ⋉
2749	s t a m p	s t a m p t	stomp	stomped	⋊ s t a m p ⋉	⋊ s t a m p t ⋉
2750	t æ k s i	t æ k s i d	taxi	taxied	⋊ t ɑ k s i ⋉	⋊ t ɑ k s i d ⋉
2751	t ɹ ɛ b ə l	t ɹ ɛ b ə l d	treble	trebled	⋊ t ɹ ɛ b ə l ⋉	⋊ t ɹ ɛ b ə l d ⋉
2752	v i t oʊ	v i t oʊ d	veto	vetoed	⋊ v i t o ⋉	⋊ v i t o d ⋉
2753	æ b d ɪ k eɪ t	æ b d ɪ k eɪ t ə d	abdicate	abdicated	⋊ ɑ b d ɪ k e t ⋉	⋊ ɑ b d ɪ k e t ɪ d ⋉
2754	b æ n d	b æ n d ə d	band	banded	⋊ b ɑ n d ⋉	⋊ b ɑ n d ɪ d ⋉
2755	k æ t ə l ɔ g	k æ t ə l ɔ g d	catalogue	catalogued	⋊ k ɑ t ə l ɔ g ⋉	⋊ k ɑ t ə l ɔ g d ⋉
2756	k ə n s t ɹ u	k ə n s t ɹ u d	construe	construed	⋊ k ə n s t ɹ u ⋉	⋊ k ə n s t ɹ u d ⋉
2757	k ɹ oʊ k	k ɹ oʊ k t	croak	croaked	⋊ k ɹ o k ⋉	⋊ k ɹ o k t ⋉
2758	d ɪ l ɪ b ɚ eɪ t	d ɪ l ɪ b ɚ eɪ t ə d	deliberate	deliberated	⋊ d ɪ l ɪ b ɛ ɹ e t ⋉	⋊ d ɪ l ɪ b ɛ ɹ e t ɪ d ⋉
2759	d ɪ s m aʊ n t	d ɪ s m aʊ n t ə d	dismount	dismounted	⋊ d ɪ s m a ʊ n t ⋉	⋊ d ɪ s m a ʊ n t ɪ d ⋉
2760	f oʊ ɹ s eɪ k	f oʊ ɹ s ʊ k	forsake	forsook	⋊ f o ɹ s e k ⋉	⋊ f o ɹ s ʊ k ⋉
2761	h oʊ	h oʊ d	hoe	hoed	⋊ h o ⋉	⋊ h o d ⋉
2762	ɪ n f l eɪ m	ɪ n f l eɪ m d	inflame	inflamed	⋊ ɪ n f l e m ⋉	⋊ ɪ n f l e m d ⋉
2763	dʒ ɚ n i	dʒ ɚ n i d	journey	journeyed	⋊ d ʒ ɛ ɹ n i ⋉	⋊ d ʒ ɛ ɹ n i d ⋉
2764	m a ɹ ʃ ə l	m a ɹ ʃ ə l d	marshal	marshalled	⋊ m a ɹ ʃ ə l ⋉	⋊ m a ɹ ʃ ə l d ⋉
2765	n ɛ s t	n ɛ s t ə d	nest	nested	⋊ n ɛ s t ⋉	⋊ n ɛ s t ɪ d ⋉
2766	p æ m p ɚ	p æ m p ɚ d	pamper	pampered	⋊ p ɑ m p ɛ ɹ ⋉	⋊ p ɑ m p ɛ ɹ d ⋉
2767	p ɚ s ə n ə l aɪ z	p ɚ s ə n ə l aɪ z d	personalize	personalized	⋊ p ɛ ɹ s ə n ə l a ɪ z ⋉	⋊ p ɛ ɹ s ə n ə l a ɪ z d ⋉
2768	p ɹ æ n s	p ɹ æ n s t	prance	pranced	⋊ p ɹ ɑ n s ⋉	⋊ p ɹ ɑ n s t ⋉
2769	p ɹ ɛ ʃ ɚ	p ɹ ɛ ʃ ɚ d	pressure	pressured	⋊ p ɹ ɛ ʃ ɛ ɹ ⋉	⋊ p ɹ ɛ ʃ ɛ ɹ d ⋉
2770	ɹ eɪ v	ɹ eɪ v d	rave	raved	⋊ ɹ e v ⋉	⋊ ɹ e v d ⋉
2771	ʃ eɪ m	ʃ eɪ m d	shame	shamed	⋊ ʃ e m ⋉	⋊ ʃ e m d ⋉
2772	ʃ ʌ t ɚ	ʃ ʌ t ɚ d	shutter	shuttered	⋊ ʃ ʌ t ɛ ɹ ⋉	⋊ ʃ ʌ t ɛ ɹ d ⋉
2773	s ʌ k ə l	s ʌ k ə l d	suckle	suckled	⋊ s ʌ k ə l ⋉	⋊ s ʌ k ə l d ⋉
2774	t eɪ n t	t eɪ n t ə d	taint	tainted	⋊ t e n t ⋉	⋊ t e n t ɪ d ⋉
2775	t æ n t ə l aɪ z	t æ n t ə l aɪ z d	tantalize	tantalized	⋊ t ɑ n t ə l a ɪ z ⋉	⋊ t ɑ n t ə l a ɪ z d ⋉
2776	ʌ p h oʊ l s t ɚ	ʌ p h oʊ l s t ɚ d	upholster	upholstered	⋊ ʌ p h o l s t ɛ ɹ ⋉	⋊ ʌ p h o l s t ɛ ɹ d ⋉
2777	ə b h oʊ ɹ	ə b h oʊ ɹ d	abhor	abhorred	⋊ ə b h o ɹ ⋉	⋊ ə b h o ɹ d ⋉
2778	ə m æ s	ə m æ s t	amass	amassed	⋊ ə m ɑ s ⋉	⋊ ə m ɑ s t ⋉
2779	b l ʌ f	b l ʌ f t	bluff	bluffed	⋊ b l ʌ f ⋉	⋊ b l ʌ f t ⋉
2780	tʃ eɪ f	tʃ eɪ f t	chafe	chafed	⋊ t ʃ e f ⋉	⋊ t ʃ e f t ⋉
2781	k ə n k ɚ	k ə n k ɚ d	concur	concurred	⋊ k ə n k ɛ ɹ ⋉	⋊ k ə n k ɛ ɹ d ⋉
2782	k a p j ʊ l eɪ t	k a p j ʊ l eɪ t ə d	copulate	copulated	⋊ k a p j ʊ l e t ⋉	⋊ k a p j ʊ l e t ɪ d ⋉
2783	k ə ɹ a b ə ɹ eɪ t	k ə ɹ a b ə ɹ eɪ t ə d	corroborate	corroborated	⋊ k ə ɹ a b ə ɹ e t ⋉	⋊ k ə ɹ a b ə ɹ e t ɪ d ⋉
2784	k ɹ æ m p	k ɹ æ m p t	cramp	cramped	⋊ k ɹ ɑ m p ⋉	⋊ k ɹ ɑ m p t ⋉
2785	d ɪ f l eɪ t	d ɪ f l eɪ t ə d	deflate	deflated	⋊ d ɪ f l e t ⋉	⋊ d ɪ f l e t ɪ d ⋉
2786	d a m ɪ n i ɹ	d a m ɪ n i ɹ d	domineer	domineered	⋊ d a m ɪ n i ɹ ⋉	⋊ d a m ɪ n i ɹ d ⋉
2787	ɪ g z æ k t	ɪ g z æ k t ə d	exact	exacted	⋊ ɪ g z ɑ k t ⋉	⋊ ɪ g z ɑ k t ɪ d ⋉
2788	g oʊ ɹ dʒ	g oʊ ɹ dʒ d	gorge	gorged	⋊ g o ɹ d ʒ ⋉	⋊ g o ɹ d ʒ d ⋉
2789	g ɹ æ f t	g ɹ æ f t ə d	graft	grafted	⋊ g ɹ ɑ f t ⋉	⋊ g ɹ ɑ f t ɪ d ⋉
2790	ɪ n s t ɪ g eɪ t	ɪ n s t ɪ g eɪ t ə d	instigate	instigated	⋊ ɪ n s t ɪ g e t ⋉	⋊ ɪ n s t ɪ g e t ɪ d ⋉
2791	dʒ ʌ g ə l	dʒ ʌ g ə l d	juggle	juggled	⋊ d ʒ ʌ g ə l ⋉	⋊ d ʒ ʌ g ə l d ⋉
2792	l i g ə l aɪ z	l i g ə l aɪ z d	legalize	legalized	⋊ l i g ə l a ɪ z ⋉	⋊ l i g ə l a ɪ z d ⋉
2793	l ʌ m p	l ʌ m p t	lump	lumped	⋊ l ʌ m p ⋉	⋊ l ʌ m p t ⋉
2794	m oʊ ɹ g ɪ dʒ	m oʊ ɹ g ɪ dʒ d	mortgage	mortgaged	⋊ m o ɹ g ɪ d ʒ ⋉	⋊ m o ɹ g ɪ d ʒ d ⋉
2795	n ɛ k	n ɛ k t	neck	necked	⋊ n ɛ k ⋉	⋊ n ɛ k t ⋉
2796	p ɛ l t	p ɛ l t ə d	pelt	pelted	⋊ p ɛ l t ⋉	⋊ p ɛ l t ɪ d ⋉
2797	p ɚ s p aɪ ɚ	p ɚ s p aɪ ɚ d	perspire	perspired	⋊ p ɛ ɹ s p a ɪ ɛ ɹ ⋉	⋊ p ɛ ɹ s p a ɪ ɛ ɹ d ⋉
2798	p l ʌ n d ɚ	p l ʌ n d ɚ d	plunder	plundered	⋊ p l ʌ n d ɛ ɹ ⋉	⋊ p l ʌ n d ɛ ɹ d ⋉
2799	ɹ ɪ k ɔɪ l	ɹ ɪ k ɔɪ l d	recoil	recoiled	⋊ ɹ ɪ k ɔ ɪ l ⋉	⋊ ɹ ɪ k ɔ ɪ l d ⋉
2800	ɹ ɛ z ə ɹ ɛ k t	ɹ ɛ z ə ɹ ɛ k t ə d	resurrect	resurrected	⋊ ɹ ɛ z ə ɹ ɛ k t ⋉	⋊ ɹ ɛ z ə ɹ ɛ k t ɪ d ⋉
2801	ɹ ɛ tʃ	ɹ ɛ tʃ t	retch	retched	⋊ ɹ ɛ t ʃ ⋉	⋊ ɹ ɛ t ʃ t ⋉
2802	s k æ n d ə l aɪ z	s k æ n d ə l aɪ z d	scandalize	scandalized	⋊ s k ɑ n d ə l a ɪ z ⋉	⋊ s k ɑ n d ə l a ɪ z d ⋉
2803	s aɪ d ə l	s aɪ d ə l d	sidle	sidled	⋊ s a ɪ d ə l ⋉	⋊ s a ɪ d ə l d ⋉
2804	s m ɚ k	s m ɚ k t	smirk	smirked	⋊ s m ɛ ɹ k ⋉	⋊ s m ɛ ɹ k t ⋉
2805	s ə l ɪ d ɪ f aɪ	s ə l ɪ d ɪ f aɪ d	solidify	solidified	⋊ s ə l ɪ d ɪ f a ɪ ⋉	⋊ s ə l ɪ d ɪ f a ɪ d ⋉
2806	s t ʌ t ɚ	s t ʌ t ɚ d	stutter	stuttered	⋊ s t ʌ t ɛ ɹ ⋉	⋊ s t ʌ t ɛ ɹ d ⋉
2807	s ɚ m aɪ z	s ɚ m aɪ z d	surmise	surmised	⋊ s ɛ ɹ m a ɪ z ⋉	⋊ s ɛ ɹ m a ɪ z d ⋉
2808	t ɛ l ɪ v aɪ z	t ɛ l ɪ v aɪ z d	televise	televised	⋊ t ɛ l ɪ v a ɪ z ⋉	⋊ t ɛ l ɪ v a ɪ z d ⋉
2809	t w ɪ t ɚ	t w ɪ t ɚ d	twitter	twittered	⋊ t w ɪ t ɛ ɹ ⋉	⋊ t w ɪ t ɛ ɹ d ⋉
2810	ʌ n z ɪ p	ʌ n z ɪ p t	unzip	unzipped	⋊ ʌ n z ɪ p ⋉	⋊ ʌ n z ɪ p t ⋉
